molecule_chembl_id,standard_value,canonical_smiles
CHEMBL673,2600.0,C#CCN(C)Cc1ccccc1
CHEMBL550000,3000.0,Oc1ccc(C2=NN(c3ccccc3)CC2)cc1
CHEMBL286796,6700.0,CCOC(=O)/C=C/c1ccc(O)c(OC)c1
CHEMBL551075,8900.0,COc1cc(O)ccc1O
CHEMBL561746,13000.0,Cc1ccc(C2(F)CC2N)cc1
CHEMBL126,17000.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
CHEMBL554831,19000.0,NC1CC1(F)c1ccccc1
CHEMBL557213,22000.0,CCNC(=S)N1N=C(c2ccc(OC)cc2)CC1c1cccs1
CHEMBL562142,25000.0,COc1ccc(C2CC(c3ccccc3)=NN2C(C)=O)cc1OC
CHEMBL562143,30000.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1
CHEMBL554514,38000.0,CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1C
